LR,NN
0.24682799999999716,0.29544519999999963
0.1645489999999974,0.3336319000000003
0.17346930000000071,0.28379639999999995
0.18068680000000015,0.31799409999999995
0.149065199999999,0.31187260000000094
0.1646250000000009,0.3370531999999997
0.16161940000000286,0.34184270000000083
0.17506589999999989,0.3144461000000014
0.17505649999999662,0.30671669999999907
0.16608289999999926,0.2913659000000024
0.16184110000000018,0.3414219999999979
0.16571289999999905,0.32817570000000273
0.1697696999999998,0.2958471999999972
0.16939500000000152,0.34945350000000275
0.17075240000000136,0.3351715999999989
0.17787810000000093,0.3205108999999986
0.17551429999999968,0.43409169999999975
0.1710860000000025,0.2899187999999988
0.17185560000000066,0.2674063999999987
0.17402629999999775,0.35514079999999737
0.18272250000000057,0.3028352000000005
0.17429380000000094,0.34814130000000176
0.17961319999999859,0.3298905000000012
0.17441089999999804,0.31690619999999825
0.16742739999999756,0.3406091000000018
0.16628340000000108,0.4144692999999968
0.21176009999999934,0.4122343000000015
0.24491760000000085,0.5162703000000022
0.2342486000000008,0.4339310000000012
0.23762800000000084,0.35410420000000187
0.22996159999999577,0.42635209999999546
0.2404022999999995,0.4171679000000026
0.23801600000000178,0.5590691999999962
0.22694639999999566,0.4890517999999986
0.21429349999999658,0.5951720999999992
0.2335630999999978,0.40490830000000244
0.23472669999999596,0.5992628999999994
0.2505377000000024,0.38369420000000076
0.23703160000000167,0.5754305000000031
0.24417239999999651,0.3133432000000056
0.2267453000000046,0.44425389999999965
0.23034259999999307,0.42141830000000624
0.22791010000000256,0.5292845000000028
0.22709429999999742,0.40528959999999614
0.23257300000000214,0.5070164999999989
0.22820629999999653,0.38200229999999635
0.23006439999999628,0.5537452000000016
0.24115580000000136,0.4202362999999991
0.23955749999999654,0.4545718999999977
0.2164736000000005,0.3351322000000039
